Zip Code,Building type (service class),Consumption (therms),Utility/Data Source,Latitude,Longitude
11109,Commercial,45899,ConEd,40.74441479,-73.95770235
11429,Commercial,755,ConEd,40.70991312,-73.73864032
11226,Industrial,65835,National Grid,40.646505,-73.9571901
10314,Institutional,2294516,National Grid,40.5964903,-74.16599112
11223,Commercial,2376036,National Grid,40.59693962,-73.97331147
10467,Large residential,4811979,ConEd,40.87704791,-73.8715325
11212,Commercial,1796469,National Grid,40.66279717,-73.91298489
11207,Commercial,3104972,National Grid,40.67080243,-73.89384115
10003,Residential,3229606,ConEd,40.73194395,-73.98887215
11226,Small residential,6406707,National Grid,40.646505,-73.9571901
10451,Commercial,8071587,ConEd,40.82069641,-73.92384137
10468,Residential,907812,ConEd,40.869693,-73.89892699
11212,Institutional,1441719,National Grid,40.66279717,-73.91298489
11420,Small residential,9694601,National Grid,40.67334524,-73.81770717
11694,Commercial,2058660,National Grid,40.57657831,-73.850777
11210,Industrial,63151,National Grid,40.62772226,-73.94653792
10309,Small residential,8086128,National Grid,40.53039312,-74.21893861
10034,Residential,226754,ConEd,40.87061711,-73.92422326
11422,Commercial,295,ConEd,40.66161349,-73.73605173
10044,Residential,93171,ConEd,40.76197649,-73.94999967
10010,Large residential,212584,ConEd,40.73914078,-73.98289846
11358,Residential,405678,ConEd,40.76035097,-73.79632646
11426,Commercial,1380,National Grid,40.73704138,-73.724157
11432,Commercial,1433501,ConEd,40.71311535,-73.792821
11237,Institutional,809265,National Grid,40.70409574,-73.92099423
11220,Large residential,6756193,National Grid,40.64118493,-74.01676473
11362,Large residential,36526,ConEd,40.75907422,-73.73430018
11101,Residential,182865,ConEd,40.74570245,-73.93866903
11206,Small residential,5252607,National Grid,40.70191202,-73.9423792
10039,Residential,471926,ConEd,40.82668193,-73.93777091
10022,Residential,981692,ConEd,40.75863022,-73.96809182
10314,Industrial,441639,National Grid,40.5964903,-74.16599112
11420,Industrial,8901,National Grid,40.67334524,-73.81770717
11426,Small residential,2754,National Grid,40.73704138,-73.724157
10454,Residential,151124,ConEd,40.80584693,-73.91628505
10002,Commercial,4230121,ConEd,40.71612147,-73.98583147
11429,Commercial,717488,National Grid,40.70991312,-73.73864032
11377,Residential,366911,ConEd,40.74519376,-73.90484714
11211,Institutional,1200176,National Grid,40.71158977,-73.95817675
10017,Commercial,2506308,ConEd,40.75245653,-73.97297648
10457,Residential,1697773,ConEd,40.84579837,-73.89832419
10012,Large residential,7190053,ConEd,40.72553802,-73.99789641
11360,Commercial,17858,ConEd,40.78070133,-73.78226734
11365,Commercial,1336553,ConEd,40.73987184,-73.79462154
11436,Large residential,225350,National Grid,40.67571821,-73.79646501
11209,Commercial,2452630,National Grid,40.6233871,-74.03065295
11223,Small residential,14240984,National Grid,40.59693962,-73.97331147
10006,Residential,15601,ConEd,40.70825614,-74.01355357
10002,Residential,4509087,ConEd,40.71612147,-73.98583147
10463,Commercial,7214349,ConEd,40.88187196,-73.91120748
10065,Residential,1795744,ConEd,40.76430121,-73.96303994
10006,Commercial,235511,ConEd,40.70825614,-74.01355357
11365,Small residential,3378,National Grid,40.73987184,-73.79462154
10467,Commercial,14662,ConEd,40.87704791,-73.8715325
